x,y,yaw,v
-22.3,0.3,-1.246927848700773,2.931129179183947
-22.2,0.15,-1.2490457805681148,1.2459718984956332
-22.17759894,-0.06720319,-1.4027415892380828,2.266701473801809
-22.12678873,-0.28153052,-1.3671122797467938,2.375780602990846
-22.08841026,-0.49900853,-1.396124134344438,2.999999999999783
-22.05003179,-0.71648653,-1.396124134344446,2.7994183427327557
-22.01165332,-0.93396454,-1.3882124677760814,2.7200907864596546
-21.96984076,-1.15079621,-1.3768504717596937,2.9091137719164544
-21.92653079,-1.36734606,-1.3734007669450112,2.962353622221272
-21.88322082,-1.58389591,-1.3748040033953446,2.8448016859000096
-21.84051932,-1.80056364,-1.3808278502092521,2.879506554531964
-21.79982134,-2.01761954,-1.3854483601093028,2.999999999999783
-21.75912335,-2.23467544,-1.3854483601092948,2.8569917362136104
-21.71842537,-2.45173134,-1.3909754522335547,2.9468678919642217
-21.68013119,-2.66921287,-1.3929662125971918,2.156411799417671
-21.64032283,-2.88628938,-1.3497979946584098,2.2080417325797796
-21.58342103,-3.09967114,-1.310193946715038,2.999999999999789
-21.52651923,-3.3130529,-1.3101939467150303,1.527528480272491
-21.46961743,-3.52643466,-1.203754613475476,0.5
-21.430089365,-3.5638694481818183,-0.7582063327115888,3.0
-21.390561299999998,-3.6013042363636365,-0.7582063327115888,2.999999999997859
-21.351033235,-3.6387390245454547,-0.7582063327116082,3.0
-21.31150517,-3.6761738127272725,-0.7582063327116082,2.999999999997859
-21.271977105,-3.7136086009090907,-0.7582063327115888,3.0
-21.23244904,-3.751043389090909,-0.7582063327115888,2.9999999999975286
-21.192920975,-3.788478177272727,-0.7582063327116112,3.0
-21.15339291,-3.8259129654545454,-0.7582063327116112,2.9999999999975286
-21.113864845000002,-3.8633477536363636,-0.7582063327115888,2.9999999999996696
-21.07433678,-3.900782541818182,-0.7582063327115858,2.9999999999975286
-21.034808715,-3.9382173299999996,-0.7582063327116082,2.999999999997859
-20.99528065,-3.975652118181818,-0.7582063327115888,2.9999999999996696
-20.955752585,-4.013086906363636,-0.7582063327115918,2.999999999997859
-20.91622452,-4.050521694545455,-0.7582063327116112,2.999999999999351
-20.876696455,-4.0879564827272725,-0.7582063327116053,2.999999999998177
-20.837168390000002,-4.12539127090909,-0.7582063327115888,3.0
-20.797640325,-4.162826059090909,-0.7582063327115888,2.9999999999975286
-20.75811226,-4.200260847272727,-0.7582063327116112,3.0
-20.718584195000002,-4.237695635454545,-0.7582063327116112,2.9999999999975286
-20.679056130000003,-4.275130423636363,-0.7582063327115888,3.0
-20.639528065,-4.312565211818182,-0.7582063327115888,0.5
-20.6,-4.35,0.09987495011629216,0.7543284625562146
-20.44285714,-4.29285714,0.34877099591967287,3.0
-20.28571429,-4.23571429,0.34877099591967287,2.99999935829652
-20.12857143,-4.17857143,0.34877101380288345,3.0
-19.97142857,-4.12142857,0.34877101380288345,2.99999935829652
-19.81428571,-4.06428571,0.34877099591967287,3.0
-19.65714286,-4.00714286,0.34877099591967287,2.1928203740174337
-19.5,-3.95,0.3179959017109115,2.14807283493841
-19.34545455,-3.90454545,0.2860514382141357,3.0
-19.19090909,-3.85909091,0.2860514382141357,2.999999999999835
-19.03636364,-3.81363636,0.28605143821413126,3.0
-18.88181818,-3.76818182,0.28605143821413126,2.999999999999835
-18.72727273,-3.72272727,0.2860514382141357,3.0
-18.57272727,-3.67727273,0.2860514382141357,2.999999999999835
-18.41818182,-3.63181818,0.28605143821413126,3.0
-18.26363636,-3.58636364,0.28605143821413126,2.999999999999835
-18.10909091,-3.54090909,0.2860514382141357,2.9999999999999507
-17.95454545,-3.49545455,0.28605143821413437,2.506979960956453
-17.8,-3.45,0.2702114138907958,2.548772705309139
-17.63571429,-3.40714286,0.2551824017712615,2.9999999999999547
-17.47142857,-3.36428571,0.2551824017712602,2.999998992993316
-17.30714286,-3.32142857,0.25518237327568527,3.0
-17.14285714,-3.27857143,0.25518237327568527,2.999998992993316
-16.97857143,-3.23571429,0.2551824017712602,2.9999999999999547
-16.81428571,-3.19285714,0.2551824017712615,2.999999255690616
-16.65,-3.15,0.2551823807093139,2.9999992556906614
-16.48571429,-3.10714286,0.2551824017712602,2.9999999999999547
-16.32142857,-3.06428571,0.2551824017712615,2.999998992993316
-16.15714286,-3.02142857,0.25518237327568655,2.9999999999999547
-15.99285714,-2.97857143,0.25518237327568527,2.9999989929932718
-15.82857143,-2.93571429,0.2551824017712615,2.9999999999999547
-15.66428571,-2.89285714,0.2551824017712602,2.9658335058432335
-15.5,-2.85,0.25420444461101904,2.965202819464548
-15.33714286,-2.80785714,0.25321739013102945,3.0
-15.17428571,-2.76571429,0.25321739013102945,2.999998708095169
-15.01142857,-2.72357143,0.25321742635207034,3.0
-14.84857143,-2.68142857,0.25321742635207034,2.999998708095169
-14.68571429,-2.63928571,0.25321739013102945,2.9999999999999547
-14.52285714,-2.59714286,0.2532173901310282,2.9999987080951236
-14.36,-2.555,0.25321742635207034,2.999998708095217
-14.19714286,-2.51285714,0.2532173901310308,3.0
-14.03428571,-2.47071429,0.2532173901310308,2.9999987080952644
-13.87142857,-2.42857143,0.253217426352069,3.0
-13.70857143,-2.38642857,0.253217426352069,2.9999987080952644
-13.54571429,-2.34428571,0.2532173901310308,3.0
-13.38285714,-2.30214286,0.2532173901310308,1.643506877150706
-13.22,-2.26,0.32263945749249,0.5
-13.24514282,-2.25610203,0.25713361073798463,2.117210169960268
-13.02920652,-2.20982997,0.21109333638537806,2.87397043080459
-12.81327022,-2.1635579,0.20625122569315396,2.8247839704586455
-12.59690014,-2.11938003,0.19940226432038893,2.5367266677420006
-12.3803503,-2.07607006,0.17923680267381115,2.6041122306124342
-12.16322516,-2.04080629,0.19595718144547555,2.7035451316445402
-11.94831101,-1.99030831,0.20806119588631367,2.4881806863178713
-11.73125511,-1.94961033,0.1853479444323944,3.0
-11.51419921,-1.90891235,0.1853479444323944,2.0172098907315346
-11.29714331,-1.86821437,0.23914447172293332,1.203764892269816
-11.08672378,-1.80468951,0.4031347339261101,1.3515334856991574
-10.89796941,-1.69796941,0.535371613104489,1.1126957034093823
-10.71883092,-1.58647182,0.3564246335902763,1.0979877035966363
-10.50099729,-1.55016621,0.16514867369247085,2.999999898872031
-10.28316365,-1.51386061,0.16514866997031452,2.0844568518213933
-10.06533001,-1.477555,0.11664992807175768,1.1769903680984526
-9.84836141,-1.46290965,-0.05176092331183692,1.9218349773802226
-9.63208906,-1.5,-0.11331186406148859,2.665768647469186
-9.41214266,-1.51255105,-0.09950110515348937,1.309919507318582
-9.19352382,-1.54378231,0.04296361542745167,0.9511100362874455
-8.98220384,-1.49406795,0.2767912165957564,2.131939095934122
-8.77269815,-1.42423272,0.3217505615563527,2.0653055148308757
-8.56319247,-1.35439749,0.3717229295105305,2.2849759156945324
-8.36548017,-1.26548017,0.3378040463323257,2.1379584173923423
-8.15491729,-1.21098346,0.29395502391208206,2.8234830793730383
-7.94695593,-1.13878237,0.2870737791526117,1.7031141076490024
-7.73487606,-1.08697521,0.20395225735533531,1.997123622825187
-7.51769895,-1.05,0.14863873578431008,2.7873045631655993
-7.29948351,-1.02177816,0.15703393980282457,2.387731143536067
-7.08242761,-0.98108018,0.1853479444323944,2.993731311551748
-6.86537171,-0.9403822,0.18557915539398315,2.525001923522357
-6.64833762,-0.89958441,0.20635069815607704,1.7728899308895798
-6.43360336,-0.85,0.13008079551797522,2.657962747438427
-6.21348806,-0.84269761,0.11591034637804168,1.44524761158405
-5.99699149,-0.7991643,0.23469139648765022,2.2584515633005307
-5.78420976,-0.74005827,0.27094684549064224,2.9999995719418817
-5.57142803,-0.68095223,0.27094686124592116,2.9999994073042076
-5.35864629,-0.62184619,0.2709468394309198,2.7466449338643866
-5.14586456,-0.56274016,0.26076159121320547,1.4557620439822172
-4.9319352,-0.5079838,0.14363820221286022,1.456419418511756
-4.71207967,-0.5,0.027054885564025223,1.0281441347406244
-4.49216597,-0.49608299,0.2379722489147747,1.5284817037405072
-4.29416895,-0.39862799,0.34420079337630777,1.4819423874801947
-4.07920108,-0.34804731,0.23109066589947744,2.999999999999993
-3.86423321,-0.29746664,0.23109066589947772,2.912760958547985
-3.64926534,-0.24688596,0.23439779080754736,2.1266079270652862
-3.43469646,-0.19489882,0.2797340387642635,2.941934304951796
-3.22519078,-0.12506359,0.28191340998678593,2.0555508692874076
-3.01116906,-0.07223381,0.2312701248561087,2.2378280838921136
-2.79574098,-0.02393524,0.19367357939588065,2.481124275966666
-2.57894704,0.01253876,0.17068600861536226,2.8954721144952202
-2.36146904,0.05091723,0.1746721924504524,2.9999999999999987
-2.14399103,0.0892957,0.17467219245045246,2.6475774860219192
-1.92651303,0.12767417,0.189370235353606,2.6240844796682246
-1.71038743,0.17240314,0.20517892136945043,2.3874089139347427
-1.49440295,0.21759951,0.1768687364446421,1.029693826293282
-1.27624612,0.25,-0.03414085295195457,1.1631860820300524
-1.06121778,0.20280445,-0.2079602808661046,1.040849302757698
-0.84478863,0.15895773,-0.00013415062781759997,0.8921250961441944
-0.63296783,0.202747,0.2553976513157724,2.058773824859801
-0.42238018,0.26924836,0.30587887935908387,2.9999999999999987
-0.21179253,0.33574973,0.3058788793590838,2.210290390399726
-0.00120488,0.40225109,0.3453302994219154,1.3082886365087676
0.20181454,0.48454303,0.486962781204968,2.4461371358350923
0.38556318,0.60704212,0.4619612848741349,1.1409540234941873
0.59061033,0.67812207,0.28515927515144646,2.4051722117701186
0.80507761,0.73002217,0.25787363009944475,2.4025269893048504
1.017419,0.79069114,0.23041400695666137,1.6097288681318447
1.23440992,0.83073499,0.13512774649511003,0.5
1.45365388,0.85,0.7820251018665219,0.5
1.38773105,0.98302527,2.2081140277112583,0.9543538487196188
1.23791244,1.14139171,2.4417580327415767,2.560319642593534
1.0541638,1.2638908,2.4607201763554585,1.3584764535853517
0.89744344,1.41720749,2.3282586443991655,2.2224367663142037
0.75202035,1.58340531,2.2896263178969796,2.99999959492922
0.60659726,1.74960313,2.2896263328061774,3.0
0.46117417,1.91580094,2.2896263328061774,1.1137427137862879
0.31575108,2.08199876,2.102618148649611,0.5
0.29700889,2.1948195,1.733245262112217,2.8398687462366032
0.27701317,2.31835949,1.7297169185478856,2.892969398091393
0.25579535,2.45196676,1.7272144264691862,2.9391792315683185
0.23338688,2.59498932,1.7257165826567862,2.9398773224843353
0.21780196,2.69524645,1.7246791038207159,2.969773490872736
0.20171115,2.79920521,1.724143755264678,2.98259860396661
0.18512378,2.90667243,1.7238265445728005,2.9935691745980377
0.16804917,3.01745492,1.7237061473095834,2.99691508946608
