x,y,yaw,v
-13.727781185815282,4.102332602054695,-1.5707963267948966,3.0
-13.727781185815282,3.924368235174356,-1.5430311532274141,2.286531851020936
-13.717781185815277,3.742261732670279,-1.5632643291645811,2.455236373104768
-13.724998,3.554860261231198,-1.5898966038416535,2.336418698359266
-13.724998,3.364469487479653,-1.5707963267948966,2.4986613737235976
-13.724998,3.174078713728136,-1.5707963267948966,3.0
-13.724998,2.9836879399766048,-1.5707963267948966,3.0
-13.724998,2.7932971662250665,-1.5707963267948966,3.0
-13.724998,2.6029063924735354,-1.5707963267948966,3.0
-13.724998,2.4125156187220114,-1.5707963267948966,3.0
-13.724998,2.2221248449704802,-1.5707963267948966,3.0
-13.724998,2.031734071218949,-1.5707963267948966,3.0
-13.724998,1.841343297467425,-1.5707963267948966,3.0
-13.724998,1.650952523715894,-1.5707963267948966,3.0
-13.724998,1.46056174996437,-1.5707963267948966,3.0
-13.724998,1.2701709762128388,-1.5707963267948966,3.0
-13.724998,1.0797802024613077,-1.5707963267948966,3.0
-13.724998,0.8893894287097623,-1.5707963267948966,3.0
-13.724998,0.6989986549582454,-1.5707963267948966,3.0
-13.724998,0.5086078812067143,-1.5567640620747933,2.6145958139238945
-13.719685303099418,0.3204176985641709,-1.465188376733669,1.520652501683926
-13.686520267210724,0.14561836757253133,-1.2474055217319813,0.8700369032460259
-13.61527707657173,0.008897191331186605,-0.9163961811776065,0.5666693132337195
-13.505955731182432,-0.08974583015984905,-0.55511097938278,0.5078541180909394
-13.358556231042826,-0.15031069690058274,-0.25461227757788146,0.6287482009248859
-13.178391273053485,-0.1749979999999951,-0.06652406844660738,0.9776364305794898
-12.988000499301961,-0.1749979999999951,0.0,1.7659357067336305
-12.79760972555043,-0.1749979999999951,0.0,3.0
-12.607218951798899,-0.1749979999999951,0.0,3.0
-12.416828178047368,-0.1749979999999951,0.0,3.0
-12.226437404295837,-0.1749979999999951,0.0,3.0
-12.036046630544313,-0.1749979999999951,0.0,3.0
