t_s,mode,x,y,yaw,speed,cmd_speed,cmd_steer,collisions
0.300,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.420,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
0.539,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
0.647,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
0.721,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
0.783,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
0.958,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
1.061,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
1.111,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
1.193,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
1.259,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
1.352,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
1.419,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
1.464,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
1.581,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
1.683,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
1.776,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
1.865,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
1.928,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
2.015,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
2.083,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
2.124,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
2.183,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
2.309,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
2.382,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
2.448,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
2.511,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
2.631,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
2.691,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
2.779,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
2.885,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
2.989,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
3.092,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
3.192,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
3.276,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
3.383,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
3.463,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
3.555,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
3.643,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
3.740,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
3.772,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
3.856,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
3.954,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
4.025,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
4.099,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
4.170,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
4.268,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
4.338,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
4.408,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
4.507,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
4.687,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
4.779,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
4.885,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
4.910,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
4.945,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
4.985,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
5.059,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
5.150,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
5.222,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
5.283,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
5.368,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
5.487,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
5.591,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
5.669,rrt,7.8726,0.1228,-0.1691,0.0000,0.0000,0.0000,0
