t_s,mode,x,y,yaw,speed,cmd_speed,cmd_steer,collisions
0.127,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.154,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.202,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.254,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.302,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.352,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.403,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.452,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.503,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.553,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.602,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.652,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.702,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.752,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.802,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.852,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.903,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.953,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.002,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.052,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.102,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.152,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.202,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.252,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.303,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.352,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.406,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.452,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.502,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.552,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.602,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.652,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.703,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.752,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.802,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.852,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.902,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.952,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.002,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.053,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.102,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.152,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.203,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.252,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.302,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.352,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.402,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.452,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.502,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.552,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.602,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.652,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.702,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.752,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.802,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.852,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.903,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.952,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.003,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.053,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.102,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.152,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.202,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.252,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.302,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.352,reactive,0.0000,0.0000,0.0000,0.0000,0.9630,-0.3341,0
