t_s,mode,x,y,yaw,speed,cmd_speed,cmd_steer,collisions
0.368,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.394,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.425,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.474,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.530,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.574,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.624,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.674,reactive,13.1493,-7.1738,1.3347,0.8093,0.0000,0.0000,0
0.737,reactive,13.1528,-7.1663,1.3244,0.8085,0.8250,-0.4200,0
0.784,reactive,13.1620,-7.1475,1.2971,0.6325,0.8250,-0.4200,0
0.842,reactive,13.1711,-7.1300,1.2730,0.6549,0.8250,-0.4200,0
0.877,reactive,13.1846,-7.1063,1.2392,0.6817,0.8250,-0.4200,0
0.929,reactive,13.1957,-7.0882,1.2131,0.6992,0.8250,-0.4200,0
0.974,reactive,13.2114,-7.0640,1.1772,0.7183,0.8250,-0.4200,0
1.024,reactive,13.2330,-7.0337,1.1314,0.7384,0.8250,-0.4200,0
1.074,reactive,13.2565,-7.0037,1.0839,0.7534,0.8250,-0.4200,0
1.126,reactive,13.2714,-6.9860,1.0554,0.7605,0.8250,-0.4200,0
1.175,reactive,13.2870,-6.9686,1.0260,0.7674,0.8250,-0.4200,0
1.234,reactive,13.3032,-6.9515,0.9971,0.7734,0.8250,-0.4200,0
1.276,reactive,13.3201,-6.9347,0.9674,0.7776,0.8250,-0.4200,0
1.334,reactive,13.3375,-6.9184,0.9378,0.7825,0.8250,-0.4200,0
1.389,reactive,13.3375,-6.9184,0.9378,0.7825,0.8250,-0.4200,0
1.437,reactive,13.3616,-6.8973,0.8980,0.7865,0.8250,-0.4200,0
1.479,reactive,13.3995,-6.8673,0.8379,0.7922,0.8250,-0.4200,0
1.527,reactive,13.4393,-6.8395,0.7778,0.7962,0.8250,-0.4200,0
1.575,reactive,13.4600,-6.8265,0.7470,0.7983,0.8250,-0.4200,0
1.632,reactive,13.4810,-6.8140,0.7171,0.8001,0.8250,-0.4200,0
1.675,reactive,13.5025,-6.8022,0.6863,0.8006,0.8250,-0.4200,0
1.730,reactive,13.5317,-6.7875,0.6460,0.8027,0.8250,-0.4200,0
1.774,reactive,13.5615,-6.7739,0.6048,0.8035,0.8250,-0.4200,0
1.825,reactive,13.5919,-6.7615,0.5644,0.8041,0.8250,-0.4200,0
1.874,reactive,13.6228,-6.7505,0.5234,0.8052,0.8250,-0.4200,0
1.924,reactive,13.6384,-6.7453,0.5032,0.8060,0.8250,-0.4200,0
2.000,reactive,13.6462,-6.7429,0.4930,0.8054,0.8250,-0.4200,0
2.039,reactive,13.6541,-6.7406,0.4825,0.8056,0.8250,-0.4200,0
2.099,reactive,13.6700,-6.7362,0.4619,0.8061,0.8250,-0.4200,0
2.134,reactive,13.7260,-6.7231,0.3903,0.8069,0.8250,-0.4200,0
