t_s,mode,x,y,yaw,speed,cmd_speed,cmd_steer,collisions
0.379,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.410,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.460,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.510,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.560,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.615,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.661,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.710,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.760,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.810,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.860,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.910,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.960,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.010,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.060,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.110,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.160,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.210,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.260,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.309,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.360,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.412,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.460,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.510,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.560,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.612,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.667,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.721,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.760,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
