t_s,mode,x,y,yaw,speed,cmd_speed,cmd_steer,collisions
7.240,rrt,9.0563,0.3858,1.1698,0.5079,1.0244,-0.0868,0
7.320,rrt,9.0648,0.4166,1.1932,0.5380,0.5472,0.3226,0
7.384,rrt,9.0744,0.4524,1.2145,0.6862,0.4154,0.3877,0
7.423,rrt,9.0862,0.4867,1.2171,0.7602,0.8658,0.1651,0
7.481,rrt,9.1085,0.5445,1.2148,0.5553,0.5469,0.3227,0
7.554,rrt,9.1115,0.5549,1.2199,0.5438,0.6823,0.2558,0
7.600,rrt,9.1175,0.5771,1.2308,0.6002,1.0643,0.0670,0
7.661,rrt,9.1233,0.6004,1.2449,0.5788,1.0182,0.0898,0
7.720,rrt,9.1301,0.6405,1.2797,0.5897,1.2000,-0.0000,0
7.792,rrt,9.1376,0.6792,1.2989,0.7130,0.3500,-0.4200,0
7.834,rrt,9.1425,0.7007,1.3042,0.7544,1.0202,-0.0889,0
7.903,rrt,9.1548,0.7556,1.3172,0.8632,1.2000,0.0000,0
7.947,rrt,9.1625,0.7858,1.3160,0.6346,1.0832,-0.0577,0
7.998,rrt,9.1793,0.8395,1.3015,0.7756,1.1947,0.0026,0
8.040,rrt,0.0001,0.0000,0.0000,0.0114,0.7706,-0.2122,0
8.081,rrt,0.0017,-0.0000,-0.0002,0.1226,0.5834,-0.3047,0
8.178,rrt,0.0104,-0.0001,-0.0007,0.3079,0.7665,-0.2142,0
8.244,rrt,0.0492,-0.0031,-0.0169,0.4338,0.7388,0.2279,0
8.320,rrt,0.0820,-0.0084,-0.0421,0.5174,0.6124,0.2903,0
8.367,rrt,9.2702,1.0715,1.1925,0.6756,0.6249,0.2841,0
8.414,rrt,0.1440,-0.0150,-0.0587,0.5899,1.1588,-0.0204,0
8.495,rrt,9.2946,1.1328,1.1975,0.6328,1.0568,0.0707,0
8.559,rrt,9.3046,1.1660,1.2122,0.7475,0.7935,0.2009,0
8.641,rrt,0.2291,-0.0119,-0.0211,0.7783,1.0529,0.0727,0
8.684,rrt,0.2777,-0.0115,-0.0125,0.8151,0.9700,0.1136,0
8.753,rrt,0.3019,-0.0101,-0.0013,0.8025,0.6648,0.2644,0
8.806,rrt,9.3520,1.3159,1.2522,0.8632,0.6586,0.2675,0
8.848,rrt,9.3585,1.3413,1.2624,0.8776,0.3500,-0.4200,0
8.895,rrt,9.3672,1.3802,1.2838,0.7338,0.6033,0.2948,0
8.944,rrt,9.3716,1.4080,1.3057,0.6301,0.8553,0.1703,0
8.981,rrt,9.3744,1.4246,1.3151,0.4996,0.3500,-0.4200,0
9.033,rrt,0.4967,0.0175,0.1121,0.5062,1.1082,-0.0453,0
9.151,rrt,9.3819,1.4755,1.3447,0.4572,0.6333,0.2800,0
9.213,rrt,0.5606,0.0284,0.1284,0.5704,0.5791,-0.3068,0
9.280,rrt,9.3943,1.5292,1.3439,0.6336,1.1370,0.0311,0
9.367,rrt,0.6228,0.0368,0.1325,0.6164,0.3500,-0.4200,0
9.428,rrt,9.4100,1.6031,1.3510,0.6751,0.8951,-0.1507,0
9.492,rrt,0.6956,0.0474,0.1360,0.7728,0.8347,-0.1805,0
9.544,rrt,-7.5553,-0.3326,-0.0033,0.0033,0.9866,-0.1054,0
9.605,rrt,-7.5480,-0.3332,-0.0062,0.2285,0.9165,-0.1401,0
9.677,rrt,-7.5210,-0.3357,-0.0190,0.4469,0.3500,-0.4200,0
9.752,rrt,-7.5010,-0.3371,-0.0249,0.5387,0.8004,0.1974,0
9.816,rrt,-7.4561,-0.3423,-0.0467,0.4902,0.5236,0.3342,0
9.864,rrt,-7.4394,-0.3461,-0.0642,0.4862,0.7118,-0.2412,0
9.976,rrt,-7.4135,-0.3501,-0.0764,0.5552,0.4007,-0.3950,0
10.052,rrt,-7.3809,-0.3528,-0.0762,0.5536,1.2000,-0.0000,0
10.136,rrt,-7.3472,-0.3556,-0.0807,0.5446,1.0050,0.0963,0
10.190,rrt,-7.3230,-0.3610,-0.1005,0.4941,0.5075,0.3422,0
10.275,rrt,-7.2959,-0.3674,-0.1161,0.6565,0.3500,0.4200,0
10.319,rrt,-7.2386,-0.3731,-0.1062,0.5606,0.8736,-0.1613,0
10.397,rrt,-7.2101,-0.3756,-0.1019,0.4722,0.9719,0.1127,0
10.445,rrt,-7.1845,-0.3680,-0.0496,0.5039,1.0998,-0.0495,0
10.511,rrt,-7.1571,-0.3657,-0.0301,0.5900,0.3500,0.4200,0
10.561,rrt,-7.1316,-0.3737,-0.0573,0.6864,0.9523,0.1224,0
10.603,rrt,-7.0963,-0.3645,-0.0178,0.7594,0.8928,0.1518,0
10.674,rrt,-7.0622,-0.3765,-0.0520,0.5348,0.9801,0.1086,0
10.724,rrt,-7.0426,-0.3646,-0.0120,0.6142,0.7085,0.2429,0
10.770,rrt,-7.0035,-0.3617,0.0064,0.6878,0.5573,-0.3176,0
10.851,rrt,-6.9656,-0.3734,-0.0124,0.6999,1.0915,0.0536,0
10.911,rrt,-6.9209,-0.3534,0.0454,0.6120,0.8399,-0.1779,0
10.992,rrt,-6.9030,-0.3519,0.0482,0.5869,0.9444,0.1263,0
11.059,rrt,-6.8820,-0.3683,0.0145,0.6869,1.1530,-0.0232,0
11.103,rrt,-6.8214,-0.3486,0.0419,0.7378,0.3500,-0.4200,0
11.147,rrt,-6.8093,-0.3679,0.0113,0.7723,1.0092,-0.0943,0
11.228,rrt,-6.7643,-0.3667,0.0133,0.6016,0.9163,0.1402,0
11.270,rrt,-6.7055,-0.3497,0.0127,0.6241,0.3500,0.4200,0
11.348,rrt,-6.6586,-0.3510,0.0040,0.6382,1.1837,0.0080,0
11.396,rrt,-6.6417,-0.3504,0.0084,0.5023,0.3500,0.4200,0
11.453,rrt,-6.6549,-0.3675,0.0095,0.4246,0.3500,0.4200,0
11.493,rrt,-6.6061,-0.3453,0.0341,0.5071,0.3500,-0.4200,0
11.574,rrt,-6.6069,-0.3589,0.0514,0.3795,0.3500,0.4200,0
11.608,rrt,-6.5925,-0.3547,0.0711,0.3591,0.9450,0.1260,0
11.632,rrt,-6.5514,-0.3325,0.0894,0.3555,0.9038,-0.1463,0
11.695,rrt,-6.5445,-0.3307,0.0959,0.3508,0.9655,0.1159,0
11.734,rrt,-6.5568,-0.3452,0.1078,0.4286,0.3500,-0.4200,0
11.798,rrt,-6.5330,-0.3400,0.1216,0.5387,1.0084,0.0947,0
11.850,rrt,-6.4678,-0.3129,0.1421,0.4290,1.1113,0.0438,0
11.910,rrt,-6.4472,-0.3108,0.1374,0.4491,0.5028,0.3445,0
11.961,rrt,-6.4549,-0.3294,0.1256,0.5868,0.9175,-0.1396,0
12.019,rrt,-6.3973,-0.3029,0.1433,0.6231,0.7158,0.2392,0
12.056,rrt,-6.3745,-0.2979,0.1543,0.5519,0.5641,-0.3142,0
12.099,rrt,-6.3576,-0.2934,0.1646,0.6019,1.1298,-0.0347,0
12.195,rrt,-6.3360,-0.3028,0.1798,0.5943,0.5215,-0.3353,0
12.251,rrt,-6.2650,-0.2691,0.2012,0.7458,0.3500,-0.4200,0
12.311,rrt,-6.2244,-0.2627,0.1887,0.6037,0.3500,0.4200,0
12.395,rrt,-6.1971,-0.2615,0.1652,0.4634,1.0804,0.0591,0
12.433,rrt,-6.1945,-0.2868,0.1246,0.3791,0.8174,-0.1890,0
12.502,rrt,-6.1456,-0.2619,0.1213,0.4285,0.3500,0.4200,0
12.563,rrt,-6.1448,-0.2840,0.1075,0.5610,0.3500,0.4200,0
12.606,rrt,-6.0760,-0.2563,0.1041,0.4839,0.4811,-0.3552,0
12.693,rrt,-6.0925,-0.2804,0.0967,0.3848,1.1630,-0.0183,0
12.781,rrt,-6.0233,-0.2503,0.1065,0.4058,0.9493,0.1239,0
12.864,rrt,-5.9903,-0.2482,0.0995,0.5752,0.3500,-0.4200,0
12.959,rrt,-6.0083,-0.2722,0.0976,0.6401,0.9701,-0.1136,0
13.024,rrt,-5.9694,-0.2661,0.1104,0.5760,0.6977,-0.2482,0
13.061,rrt,-5.9493,-0.2639,0.1097,0.4472,0.3500,0.4200,0
13.137,rrt,-5.9067,-0.2616,0.0968,0.5897,0.3500,-0.4200,0
13.180,rrt,-5.8399,-0.2330,0.0940,0.4790,0.9583,-0.1194,0
13.235,rrt,-5.8735,-0.2593,0.0919,0.4048,0.3500,-0.4200,0
13.275,rrt,-5.8031,-0.2305,0.0888,0.4006,0.8183,-0.1886,0
13.346,rrt,-5.7755,-0.2301,0.0775,0.4462,0.3500,0.4200,0
13.407,rrt,-5.7669,-0.2305,0.0715,0.4107,0.6103,-0.2914,0
13.485,rrt,-5.7822,-0.2599,0.0480,0.4419,0.6968,-0.2486,0
13.534,rrt,-5.7615,-0.2600,0.0420,0.4183,1.1489,-0.0253,0
13.591,rrt,-5.7016,-0.2320,0.0418,0.4522,0.8942,-0.1511,0
13.630,rrt,-5.7199,-0.2637,0.0132,0.5403,0.8306,-0.1825,0
13.692,rrt,-5.6961,-0.2658,0.0011,0.6376,0.7049,0.2446,0
13.745,rrt,-5.6629,-0.2688,-0.0159,0.6854,1.0779,-0.0603,0
13.825,rrt,-5.5904,-0.2396,-0.0128,0.7074,0.3500,-0.4200,0
13.869,rrt,-5.5331,-0.2434,-0.0267,0.7570,1.0222,0.0879,0
13.939,rrt,-5.5001,-0.2458,-0.0373,0.5299,0.7547,0.2200,0
13.994,rrt,-5.4976,-0.2871,-0.0772,0.6339,1.0074,0.0952,0
14.058,rrt,-5.4332,-0.2541,-0.0631,0.6350,0.9061,0.1452,0
14.097,rrt,-5.4003,-0.2548,-0.0542,0.6944,1.0076,-0.0951,0
14.147,rrt,-5.3639,-0.2546,-0.0417,0.7518,1.0872,-0.0557,0
14.203,rrt,-5.3681,-0.2889,-0.0370,0.8040,1.1848,-0.0075,0
14.247,rrt,-5.3265,-0.2888,-0.0304,0.8602,1.1665,-0.0165,0
14.303,rrt,-5.2821,-0.2910,-0.0355,0.9225,0.4298,0.3806,0
14.361,rrt,-5.2019,-0.2591,-0.0390,0.9636,1.0338,0.0821,0
14.402,rrt,-5.1891,-0.2943,-0.0334,0.7373,0.7955,-0.1999,0
14.447,rrt,-5.1318,-0.2611,-0.0320,0.5573,0.9519,-0.1226,0
14.499,rrt,-5.0947,-0.2599,-0.0203,0.6570,0.7871,0.2040,0
14.563,rrt,-5.1135,-0.2936,-0.0197,0.7281,1.0049,-0.0964,0
14.612,rrt,-5.0838,-0.2958,-0.0296,0.7521,0.3500,0.4200,0
14.663,rrt,-5.0025,-0.2652,-0.0365,0.7595,1.0025,-0.0976,0
14.717,rrt,-4.9670,-0.2675,-0.0429,0.5795,0.9647,0.1163,0
14.762,rrt,-4.9746,-0.2984,-0.0242,0.5747,0.6934,0.2503,0
14.815,rrt,-4.9435,-0.2995,-0.0273,0.6636,1.1804,0.0097,0
14.867,rrt,-4.9092,-0.3001,-0.0235,0.6912,1.1496,-0.0249,0
14.922,rrt,-4.8736,-0.2980,-0.0066,0.7567,0.4443,-0.3734,0
14.973,rrt,-4.8249,-0.2967,-0.0011,0.8612,0.5506,0.3209,0
15.027,rrt,-4.7626,-0.2699,-0.0200,0.6211,1.0150,-0.0914,0
15.090,rrt,-4.7576,-0.3010,-0.0262,0.5684,0.4662,0.3626,0
15.136,rrt,-4.7346,-0.3025,-0.0302,0.6046,0.6786,0.2576,0
15.184,rrt,-4.7090,-0.3045,-0.0375,0.6767,0.8846,0.1559,0
15.241,rrt,-4.6728,-0.3063,-0.0386,0.5917,0.6728,-0.2605,0
15.277,rrt,-4.6423,-0.3054,-0.0258,0.6369,0.8480,0.1739,0
15.340,rrt,-4.6161,-0.3040,-0.0148,0.6616,0.3500,0.4200,0
15.377,rrt,-4.5526,-0.2753,-0.0083,0.6981,0.8333,0.1812,0
15.454,rrt,-4.5148,-0.2715,0.0165,0.5014,0.7984,-0.1985,0
15.489,rrt,-4.4936,-0.2681,0.0334,0.5608,0.8677,-0.1642,0
15.563,rrt,-4.4996,-0.2934,0.0458,0.5971,0.9220,0.1373,0
15.601,rrt,-4.4555,-0.2890,0.0561,0.6694,0.3500,-0.4200,0
15.665,rrt,-4.4280,-0.2884,0.0498,0.7091,0.9054,0.1456,0
15.708,rrt,-4.3893,-0.2874,0.0449,0.5126,0.4073,-0.3917,0
15.767,rrt,-4.3425,-0.2629,0.0232,0.4791,0.3500,0.4200,0
15.819,rrt,-4.3088,-0.2652,0.0060,0.4428,1.1418,-0.0288,0
15.884,rrt,-4.3107,-0.2902,0.0148,0.4216,0.6864,-0.2538,0
15.922,rrt,-4.2966,-0.2903,0.0134,0.5195,0.8033,0.1960,0
15.985,rrt,-4.2329,-0.2709,-0.0232,0.5801,1.0501,-0.0741,0
16.031,rrt,-4.2450,-0.2918,0.0010,0.6139,1.1561,-0.0217,0
16.093,rrt,-4.1963,-0.2732,-0.0294,0.6495,1.0268,-0.0856,0
16.142,rrt,-4.1844,-0.2916,0.0019,0.7536,0.8486,-0.1736,0
16.197,rrt,-4.1446,-0.2923,-0.0027,0.8284,0.9220,-0.1374,0
16.232,rrt,-4.0936,-0.2950,-0.0176,0.8572,0.4314,0.3798,0
