t_s,mode,x,y,yaw,speed,cmd_speed,cmd_steer,collisions
0.317,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.419,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
0.487,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
0.575,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
0.613,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
0.683,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
0.755,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
0.842,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
0.922,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
1.021,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
1.051,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
1.154,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
1.191,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
1.248,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
1.319,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
1.370,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
1.433,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
1.493,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
1.577,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
1.657,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
1.723,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
1.784,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
1.908,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
1.989,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
2.053,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
2.107,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
2.191,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
2.244,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
2.311,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
2.388,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
2.462,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
2.532,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
2.577,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
2.635,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
2.683,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
2.772,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
2.895,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
3.006,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
3.092,rrt,7.8189,-0.2977,0.2495,0.0000,0.0000,0.0000,0
3.169,rrt,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0
3.287,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.360,rrt,7.8343,-0.2938,0.2495,0.5069,2.0000,0.0000,0
3.469,rrt,7.8723,-0.2841,0.2495,0.3439,0.0000,0.0000,0
