t_s,mode,x,y,yaw,speed,cmd_speed,cmd_steer,collisions
0.378,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.417,reactive,-8.7792,-0.6463,-0.1204,1.4476,1.4074,0.0576,0
0.465,reactive,-8.7653,-0.6478,-0.1185,1.3525,1.2037,0.1843,0
0.514,reactive,-8.6932,-0.6557,-0.1143,1.2020,1.4722,0.0173,0
0.557,reactive,-8.6320,-0.6622,-0.1115,1.2597,1.4722,0.0173,0
0.606,reactive,-8.5811,-0.6675,-0.1091,1.2973,1.4722,0.0173,0
0.657,reactive,-8.5288,-0.6728,-0.1066,1.3247,1.4722,0.0173,0
0.706,reactive,-8.5288,-0.6728,-0.1066,1.3247,1.4815,0.0115,0
0.757,reactive,-8.4756,-0.6777,-0.1019,1.3482,1.4815,0.0115,0
0.807,reactive,-8.4215,-0.6827,-0.0990,1.3710,1.4444,0.0346,0
0.857,reactive,-8.3810,-0.6861,-0.0946,1.3552,1.4815,0.0115,0
0.906,reactive,-8.3265,-0.6903,-0.0890,1.3749,1.4815,0.0115,0
0.956,reactive,-8.2990,-0.6923,-0.0858,1.3823,1.3148,0.1152,0
1.007,reactive,-8.2575,-0.6955,-0.0843,1.3784,1.3704,0.0807,0
1.059,reactive,-8.2300,-0.6975,-0.0815,1.3781,1.4815,0.0115,0
1.106,reactive,-8.2025,-0.6991,-0.0762,1.3815,1.4630,0.0230,0
1.159,reactive,-8.1347,-0.7022,-0.0639,1.3634,1.5000,-0.0000,0
1.217,reactive,-8.1347,-0.7022,-0.0639,1.3634,1.5000,-0.0000,0
1.258,reactive,-8.0797,-0.7053,-0.0632,1.3862,1.3333,0.1037,0
