t_s,mode,x,y,yaw,speed,cmd_speed,cmd_steer,collisions
0.254,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.417,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
0.546,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
0.678,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
0.783,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
0.858,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
0.930,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
1.016,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
1.100,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
1.161,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
1.247,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
1.302,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
1.437,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
1.558,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
1.644,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
1.842,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
1.890,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
1.950,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
2.011,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
2.116,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
2.362,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
2.534,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
2.641,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
2.775,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
2.906,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
3.002,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
3.061,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
3.120,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
3.203,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
3.302,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
3.358,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
3.470,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
3.559,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
3.722,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
3.852,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
3.955,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
4.091,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
4.264,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
4.404,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
4.489,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
4.570,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
4.654,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
4.749,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
4.811,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
4.917,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
4.950,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
4.993,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
5.042,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
5.192,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
5.228,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
5.286,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
5.328,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
5.368,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
5.407,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
5.449,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
5.534,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
5.630,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
5.709,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
5.835,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
5.906,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
5.958,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
5.999,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
6.074,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
6.165,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
6.253,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
6.351,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
6.463,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
6.575,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
6.670,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
6.803,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
6.902,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
6.962,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
7.026,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
7.105,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
7.180,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
7.245,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
7.314,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
7.376,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
7.489,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
7.563,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
7.645,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
7.708,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
7.761,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
7.865,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
7.959,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
7.999,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
8.029,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
8.092,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
8.162,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
8.233,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
8.331,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
8.421,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
8.488,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
8.570,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
8.640,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
8.712,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
8.782,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
8.875,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
8.949,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
9.039,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
9.077,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
9.117,rrt,8.6238,0.3148,0.0990,0.0000,0.0000,0.0000,0
