t_s,mode,x,y,yaw,speed,cmd_speed,cmd_steer,collisions
0.249,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.264,reactive,10.9062,9.9254,2.9241,1.0482,0.8250,-0.4200,0
0.307,reactive,10.8469,9.9300,2.9711,0.8534,0.8250,-0.4200,0
0.354,reactive,10.8048,9.9338,2.9876,0.8359,0.8250,-0.4200,0
0.424,reactive,10.7800,9.9374,2.9876,0.8310,0.8250,-0.4200,0
0.459,reactive,10.7800,9.9374,2.9876,0.8310,0.8250,-0.4200,0
0.515,reactive,10.7316,9.9482,2.9661,0.8223,0.8250,-0.4200,0
0.578,reactive,10.7080,9.9558,2.9446,0.8167,0.8250,-0.4200,0
0.604,reactive,10.7080,9.9558,2.9446,0.8167,0.8250,-0.4200,0
0.662,reactive,10.6926,9.9618,2.9263,0.8122,0.8250,-0.4200,0
0.714,reactive,10.6478,9.9829,2.8649,0.8091,0.8250,-0.4200,0
0.762,reactive,10.6187,9.9985,2.8243,0.8086,0.8250,-0.4200,0
0.807,reactive,10.5974,10.0111,2.7931,0.8089,0.8250,-0.4200,0
0.860,reactive,10.5834,10.0198,2.7727,0.8092,0.8250,-0.4200,0
0.904,reactive,10.5559,10.0381,2.7317,0.8086,0.8250,-0.4200,0
0.954,reactive,10.5227,10.0625,2.6806,0.8085,0.8250,-0.4200,0
1.005,reactive,10.5034,10.0780,2.6495,0.8089,0.8250,-0.4200,0
1.074,reactive,10.4783,10.0995,2.6088,0.8085,0.8250,-0.4200,0
1.104,reactive,10.4662,10.1106,2.5880,0.8086,0.8250,-0.4200,0
1.154,reactive,10.4368,10.1395,2.5370,0.8085,0.8250,-0.4200,0
1.205,reactive,10.4144,10.1638,2.4957,0.8089,0.8250,-0.4200,0
1.254,reactive,10.3877,10.1953,2.4444,0.8086,0.8250,-0.4200,0
1.305,reactive,10.3726,10.2148,2.4137,0.8092,0.8250,-0.4200,0
1.356,reactive,10.3486,10.2484,2.3622,0.8089,0.8250,-0.4200,0
1.405,reactive,10.3307,10.2761,2.3216,0.8085,0.8250,-0.4200,0
1.458,reactive,10.3140,10.3046,2.2803,0.8089,0.8250,-0.4200,0
1.505,reactive,10.3100,10.3118,2.2700,0.8092,0.8250,-0.4200,0
1.555,reactive,10.2984,10.3337,2.2392,0.8086,0.8250,-0.4200,0
1.606,reactive,10.2807,10.3709,2.1882,0.8093,0.8250,-0.4200,0
1.655,reactive,10.2710,10.3937,2.1572,0.8086,0.8250,-0.4200,0
1.706,reactive,10.2591,10.4245,2.1164,0.8093,0.8250,-0.4200,0
1.754,reactive,10.2537,10.4400,2.0956,0.8086,0.8250,-0.4200,0
1.805,reactive,10.2461,10.4636,2.0649,0.8089,0.8250,-0.4200,0
1.854,reactive,10.2371,10.4953,2.0238,0.8086,0.8250,-0.4200,0
1.904,reactive,10.2277,10.5355,1.9728,0.8093,0.8250,-0.4200,0
1.955,reactive,10.2231,10.5598,1.9417,0.8086,0.8250,-0.4200,0
2.004,reactive,10.2181,10.5924,1.9010,0.8093,0.8250,-0.4200,0
2.055,reactive,10.2170,10.6006,1.8907,0.8085,0.8250,-0.4200,0
2.105,reactive,10.2144,10.6252,1.8596,0.8089,0.8250,-0.4200,0
2.156,reactive,10.2131,10.6417,1.8392,0.8092,0.8250,-0.4200,0
2.214,reactive,10.2113,10.6829,1.7877,0.8089,0.8250,-0.4200,0
2.257,reactive,10.2111,10.6911,1.7776,0.8089,0.8250,-0.4200,0
2.310,reactive,10.2118,10.7324,1.7263,0.8086,0.8250,-0.4200,0
2.355,reactive,10.2146,10.7735,1.6753,0.8085,0.8250,-0.4200,0
2.404,reactive,10.2174,10.7981,1.6441,0.8089,0.8250,-0.4200,0
2.455,reactive,10.2235,10.8389,1.5930,0.8086,0.8250,-0.4200,0
2.504,reactive,10.2336,10.8873,1.5317,0.8085,0.8250,-0.4200,0
2.554,reactive,10.2444,10.9272,1.4801,0.8092,0.8250,-0.4200,0
2.604,reactive,10.2572,10.9664,1.4287,0.8089,0.8250,-0.4200,0
2.655,reactive,10.2719,11.0049,1.3775,0.8086,0.8250,-0.4200,0
2.704,reactive,10.2886,11.0426,1.3265,0.8093,0.8250,-0.4200,0
2.754,reactive,10.3072,11.0794,1.2749,0.8089,0.8250,-0.4200,0
2.804,reactive,10.3277,11.1152,1.2236,0.8086,0.8250,-0.4200,0
2.855,reactive,10.3454,11.1431,1.1829,0.8093,0.8250,-0.4200,0
2.904,reactive,10.3691,11.1768,1.1313,0.8089,0.8250,-0.4200,0
2.954,reactive,10.3945,11.2093,1.0800,0.8086,0.8250,-0.4200,0
3.004,reactive,10.4215,11.2405,1.0290,0.8085,0.8250,-0.4200,0
3.055,reactive,10.4385,11.2585,0.9978,0.8089,0.8250,-0.4200,0
3.104,reactive,10.4560,11.2760,0.9675,0.8093,0.8250,-0.4200,0
3.155,reactive,10.4740,11.2929,0.9364,0.8086,0.8250,-0.4200,0
3.205,reactive,10.4926,11.3093,0.9056,0.8092,0.8250,-0.4200,0
3.255,reactive,10.5052,11.3199,0.8854,0.8085,0.8250,-0.4200,0
3.304,reactive,10.5312,11.3403,0.8441,0.8089,0.8250,-0.4200,0
3.354,reactive,10.5579,11.3596,0.8030,0.8086,0.8250,-0.4200,0
3.405,reactive,10.5855,11.3778,0.7620,0.8092,0.8250,-0.4200,0
3.457,reactive,10.5995,11.3865,0.7418,0.8085,0.8250,-0.4200,0
3.507,reactive,10.6353,11.4069,0.6902,0.8092,0.8250,-0.4200,0
3.555,reactive,10.6722,11.4255,0.6388,0.8089,0.8250,-0.4200,0
3.605,reactive,10.7023,11.4390,0.5981,0.8085,0.8250,-0.4200,0
3.665,reactive,10.7407,11.4540,0.5466,0.8092,0.8250,-0.4200,0
3.711,reactive,10.7484,11.4568,0.5366,0.8093,0.8250,-0.4200,0
3.755,reactive,10.7562,11.4595,0.5263,0.8085,0.8250,-0.4200,0
3.804,reactive,10.7877,11.4695,0.4850,0.8089,0.8250,-0.4200,0
3.854,reactive,10.8275,11.4801,0.4337,0.8086,0.8250,-0.4200,0
3.905,reactive,10.8679,11.4888,0.3827,0.8085,0.8250,-0.4200,0
3.955,reactive,10.9086,11.4952,0.3312,0.8092,0.8250,-0.4200,0
4.007,reactive,10.9496,11.4997,0.2797,0.8089,0.8250,-0.4200,0
4.064,reactive,10.9578,11.5003,0.2696,0.8089,0.8250,-0.4200,0
4.113,reactive,10.9743,11.5013,0.2493,0.8093,0.8250,-0.4200,0
4.155,reactive,10.9990,11.5022,0.2183,0.8086,0.8250,-0.4200,0
4.204,reactive,11.0320,11.5022,0.1775,0.8093,0.8250,-0.4200,0
4.254,reactive,11.0732,11.5003,0.1260,0.8089,0.8250,-0.4200,0
4.305,reactive,11.1061,11.4972,0.0849,0.8086,0.8250,-0.4200,0
4.356,reactive,11.1306,11.4940,0.0542,0.8089,0.8250,-0.4200,0
4.405,reactive,11.1469,11.4915,0.0339,0.8093,0.8250,-0.4200,0
4.455,reactive,11.1632,11.4887,0.0131,0.8086,0.8250,-0.4200,0
4.505,reactive,11.1874,11.4837,-0.0176,0.8089,0.8250,-0.4200,0
4.554,reactive,11.2275,11.4739,-0.0689,0.8086,0.8250,-0.4200,0
4.605,reactive,11.2434,11.4693,-0.0895,0.8089,0.8250,-0.4200,0
4.655,reactive,11.2591,11.4645,-0.1097,0.8093,0.8250,-0.4200,0
4.705,reactive,11.2826,11.4566,-0.1408,0.8086,0.8250,-0.4200,0
4.755,reactive,11.3211,11.4420,-0.1918,0.8085,0.8250,-0.4200,0
4.806,reactive,11.3439,11.4322,-0.2230,0.8089,0.8250,-0.4200,0
4.860,reactive,11.3811,11.4144,-0.2741,0.8086,0.8250,-0.4200,0
4.907,reactive,11.4173,11.3947,-0.3251,0.8093,0.8250,-0.4200,0
4.966,reactive,11.4525,11.3731,-0.3767,0.8089,0.8250,-0.4200,0
5.004,reactive,11.4731,11.3594,-0.4072,0.8085,0.8250,-0.4200,0
5.055,reactive,11.4932,11.3450,-0.4384,0.8089,0.8250,-0.4200,0
5.105,reactive,11.5193,11.3248,-0.4790,0.8085,0.8250,-0.4200,0
5.155,reactive,11.5508,11.2982,-0.5306,0.8092,0.8250,-0.4200,0
5.204,reactive,11.5808,11.2699,-0.5820,0.8089,0.8250,-0.4200,0
5.254,reactive,11.6038,11.2463,-0.6226,0.8085,0.8250,-0.4200,0
5.308,reactive,11.6311,11.2153,-0.6742,0.8092,0.8250,-0.4200,0
5.355,reactive,11.6518,11.1896,-0.7152,0.8086,0.8250,-0.4200,0
5.406,reactive,11.6762,11.1564,-0.7663,0.8085,0.8250,-0.4200,0
5.454,reactive,11.6944,11.1289,-0.8076,0.8089,0.8250,-0.4200,0
5.505,reactive,11.7115,11.1006,-0.8486,0.8086,0.8250,-0.4200,0
5.555,reactive,11.7350,11.0571,-0.9099,0.8085,0.8250,-0.4200,0
5.605,reactive,11.7524,11.0197,-0.9614,0.8092,0.8250,-0.4200,0
5.655,reactive,11.7679,10.9815,-1.0129,0.8089,0.8250,-0.4200,0
5.704,reactive,11.7790,10.9504,-1.0535,0.8085,0.8250,-0.4200,0
5.756,reactive,11.7886,10.9188,-1.0948,0.8089,0.8250,-0.4200,0
5.804,reactive,11.7989,10.8789,-1.1461,0.8086,0.8250,-0.4200,0
5.860,reactive,11.8041,10.8547,-1.1769,0.8092,0.8250,-0.4200,0
5.906,reactive,11.8099,10.8222,-1.2179,0.8086,0.8250,-0.4200,0
