t_s,mode,x,y,yaw,speed,cmd_speed,cmd_steer,collisions
0.140,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.158,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.207,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.257,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.308,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.357,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.407,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.460,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.507,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.557,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.607,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.657,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.707,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.757,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.807,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.857,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.909,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.957,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.007,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.057,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.108,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.157,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.208,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.257,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.307,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.357,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.407,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.460,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.507,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.557,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
