t_s,mode,x,y,yaw,speed,cmd_speed,cmd_steer,collisions
0.053,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.101,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.151,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.201,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.251,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.301,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.351,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.403,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.451,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.501,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.552,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.602,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.651,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.701,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.752,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.801,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.851,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.901,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.951,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.002,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.051,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.101,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.151,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.201,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.251,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.301,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.351,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.401,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.452,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.502,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.551,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.602,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.651,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.701,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.751,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.801,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.851,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.901,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.951,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.001,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.051,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.101,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.151,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.201,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.251,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.301,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.351,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.401,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.455,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.501,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.551,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.602,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.652,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.702,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.752,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.803,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.851,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.901,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.951,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.001,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.052,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.101,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.151,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.202,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.251,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.301,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.351,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.401,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.451,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.501,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.551,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.603,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.654,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.701,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.751,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.801,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.852,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.902,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.952,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.001,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.051,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.102,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.152,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.201,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.252,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.301,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.352,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.401,reactive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
