t_s,mode,x,y,yaw,speed,cmd_speed,cmd_steer,collisions
0.132,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.157,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.207,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.257,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.307,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.357,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.407,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.457,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.507,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.557,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.607,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.658,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.707,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.757,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.808,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.857,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.907,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.957,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.007,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.057,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.107,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.157,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.207,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.257,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.307,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.444,rrt,0.0000,0.0000,0.0000,0.0000,0.9258,-0.1702,0
1.533,rrt,0.0000,0.0000,0.0000,0.0000,1.1622,-0.0461,0
1.617,rrt,0.0003,-0.0000,-0.0001,0.0524,1.0455,-0.1074,0
1.686,rrt,0.0251,-0.0014,-0.0077,0.4401,1.2227,-0.0143,0
1.751,rrt,0.0633,-0.0031,-0.0155,0.6322,0.6121,-0.3349,0
1.814,rrt,0.1048,-0.0061,-0.0280,0.7612,0.9684,-0.1478,0
1.867,rrt,0.1604,-0.0090,-0.0348,0.7342,0.8405,-0.2150,0
1.894,rrt,0.1951,-0.0131,-0.0532,0.7014,1.1034,-0.0770,0
1.933,rrt,0.2387,-0.0193,-0.0739,0.7508,0.4500,-0.4200,0
1.988,rrt,0.2845,-0.0270,-0.0960,0.6883,0.9803,0.1416,0
2.034,rrt,0.2973,-0.0293,-0.1032,0.6046,1.0251,0.1181,0
2.085,rrt,0.3442,-0.0402,-0.1344,0.6640,1.1038,0.0767,0
2.128,rrt,0.3791,-0.0460,-0.1386,0.7506,1.1930,0.0299,0
2.177,rrt,0.4185,-0.0502,-0.1304,0.8349,0.8883,0.1899,0
2.233,rrt,0.4617,-0.0551,-0.1271,0.8842,0.9374,0.1641,0
2.274,rrt,0.5058,-0.0584,-0.1118,0.8873,0.4500,0.4200,0
2.339,rrt,0.5470,-0.0592,-0.0878,0.6821,0.4500,0.4200,0
2.396,rrt,0.5768,-0.0570,-0.0581,0.5224,1.2387,0.0059,0
2.436,rrt,0.5919,-0.0545,-0.0382,0.4818,1.0606,0.0994,0
2.484,rrt,0.6313,-0.0485,0.0003,0.6549,1.0167,-0.1225,0
2.538,rrt,0.6663,-0.0453,0.0156,0.7416,1.2023,0.0251,0
2.660,rrt,0.7051,-0.0443,0.0158,0.8189,0.8472,-0.2115,0
2.716,rrt,0.7051,-0.0443,0.0158,0.8189,1.0429,-0.1087,0
2.738,rrt,0.8243,-0.0407,0.0240,0.9617,1.2130,-0.0194,0
2.826,rrt,0.8891,-0.0414,0.0097,0.9393,1.2271,0.0120,0
2.886,rrt,0.9277,-0.0419,0.0061,0.9883,1.0432,-0.1086,0
2.919,rrt,0.9680,-0.0417,0.0065,1.0300,0.7222,-0.2771,0
2.941,rrt,0.9888,-0.0414,0.0080,1.0483,1.1604,-0.0470,0
2.978,rrt,1.0706,-0.0416,-0.0010,0.9459,1.2261,-0.0126,0
3.040,rrt,1.1192,-0.0436,-0.0105,0.9993,1.1812,-0.0361,0
3.081,rrt,1.1600,-0.0444,-0.0115,1.0395,1.0179,-0.1218,0
3.127,rrt,1.2232,-0.0461,-0.0178,1.0483,1.2497,-0.0002,0
3.203,rrt,1.2647,-0.0488,-0.0310,1.0432,1.2104,-0.0208,0
3.311,rrt,1.3180,-0.0522,-0.0383,1.0887,1.0432,0.1086,0
3.399,rrt,1.3955,-0.0555,-0.0397,1.1253,1.0261,0.1175,0
3.493,rrt,1.4750,-0.0589,-0.0410,1.1272,1.0206,-0.1204,0
3.574,rrt,1.5616,-0.0592,-0.0196,1.0492,1.0128,0.1246,0
3.642,rrt,1.6753,-0.0535,0.0161,1.0253,1.0996,0.0790,0
3.667,rrt,1.7366,-0.0539,0.0053,1.0179,0.9881,0.1375,0
3.758,rrt,1.7671,-0.0541,0.0049,1.0156,1.1728,0.0405,0
3.902,rrt,1.8583,-0.0490,0.0313,1.0001,0.9072,-0.1800,0
3.951,rrt,1.9281,-0.0424,0.0536,1.0178,1.0409,-0.1098,0
3.991,rrt,2.0327,-0.0347,0.0627,1.0415,1.0297,-0.1156,0
4.040,rrt,2.1121,-0.0319,0.0479,0.9905,1.0871,-0.0855,0
4.091,rrt,2.1619,-0.0322,0.0328,1.0014,0.5917,-0.3456,0
4.148,rrt,2.2121,-0.0332,0.0175,0.9354,1.1951,0.0288,0
4.203,rrt,2.2121,-0.0332,0.0175,0.9354,0.7741,-0.2499,0
4.248,rrt,2.2668,-0.0378,-0.0162,0.7516,0.9692,-0.1474,0
4.288,rrt,2.3063,-0.0424,-0.0364,0.7994,0.4500,-0.4200,0
4.341,rrt,2.3694,-0.0525,-0.0773,0.7474,1.1674,0.0434,0
4.390,rrt,2.4008,-0.0589,-0.1014,0.6010,1.0518,0.1041,0
4.464,rrt,2.4334,-0.0664,-0.1229,0.7204,0.4500,-0.4200,0
4.528,rrt,2.4334,-0.0664,-0.1229,0.7204,1.1622,0.0461,0
4.603,rrt,2.5063,-0.0770,-0.1270,0.6031,0.4500,-0.4200,0
4.656,rrt,2.5461,-0.0841,-0.1384,0.6427,1.1736,-0.0401,0
4.720,rrt,2.5795,-0.0886,-0.1361,0.6228,1.0067,0.1277,0
4.775,rrt,2.6203,-0.0949,-0.1408,0.6535,1.0493,-0.1054,0
4.851,rrt,2.6553,-0.1006,-0.1444,0.7505,0.4500,-0.4200,0
4.947,rrt,2.7187,-0.1084,-0.1368,0.8425,0.6204,0.3305,0
5.023,rrt,2.7728,-0.1185,-0.1548,0.6286,0.8934,0.1872,0
5.086,rrt,2.8235,-0.1359,-0.2065,0.5158,0.6373,0.3217,0
5.146,rrt,2.8601,-0.1480,-0.2275,0.5983,0.7906,0.2412,0
5.205,rrt,2.8965,-0.1563,-0.2250,0.6274,0.9193,0.1736,0
5.276,rrt,2.9280,-0.1604,-0.2063,0.6464,0.9626,0.1509,0
5.350,rrt,2.9754,-0.1639,-0.1733,0.7108,0.8426,0.2139,0
5.450,rrt,3.0276,-0.1677,-0.1464,0.7788,0.9396,0.1630,0
5.501,rrt,3.0921,-0.1708,-0.1122,0.8142,1.0565,0.1016,0
5.546,rrt,3.1414,-0.1704,-0.0799,0.8200,0.8393,0.2156,0
5.648,rrt,3.2004,-0.1691,-0.0500,0.8672,0.7979,0.2373,0
5.705,rrt,3.2445,-0.1688,-0.0363,0.8736,0.9611,-0.1517,0
5.750,rrt,3.3044,-0.1643,0.0013,0.8344,0.8042,-0.2341,0
5.806,rrt,3.3372,-0.1600,0.0262,0.8100,0.8312,-0.2199,0
5.870,rrt,3.3779,-0.1541,0.0517,0.8250,1.0741,-0.0924,0
5.945,rrt,3.4593,-0.1498,0.0452,0.8138,1.1334,-0.0612,0
5.993,rrt,3.4924,-0.1517,0.0246,0.8486,0.9393,-0.1631,0
6.035,rrt,3.5453,-0.1542,0.0060,0.9100,1.1118,-0.0726,0
6.098,rrt,3.5825,-0.1556,-0.0024,0.9404,1.0743,0.0923,0
6.135,rrt,3.6488,-0.1602,-0.0268,0.9695,0.9539,-0.1554,0
6.212,rrt,3.7277,-0.1652,-0.0391,0.9849,0.4845,-0.4019,0
6.261,rrt,3.7277,-0.1652,-0.0391,0.9849,0.8588,-0.2054,0
6.313,rrt,3.7948,-0.1718,-0.0641,0.8689,1.0563,0.1017,0
6.366,rrt,3.8370,-0.1806,-0.1020,0.6630,1.0221,0.1196,0
6.455,rrt,3.8709,-0.1885,-0.1248,0.7271,1.0295,0.1157,0
6.516,rrt,3.9495,-0.1989,-0.1216,0.8444,1.2355,0.0076,0
6.623,rrt,3.9839,-0.2010,-0.1091,0.8761,1.2184,-0.0166,0
6.757,rrt,4.0670,-0.2058,-0.0914,0.9837,0.8364,0.2171,0
6.858,rrt,4.1699,-0.2155,-0.0929,1.0758,1.1139,0.0714,0
6.980,rrt,4.2240,-0.2207,-0.0939,1.0507,0.4500,0.4200,0
7.047,rrt,4.3561,-0.2249,-0.0549,0.9665,0.9657,0.1492,0
7.105,rrt,4.4182,-0.2258,-0.0399,0.6833,0.6961,0.2908,0
7.175,rrt,4.4548,-0.2231,-0.0155,0.6246,1.2171,0.0173,0
7.210,rrt,4.4940,-0.2195,0.0081,0.6603,0.9158,-0.1755,0
7.239,rrt,4.5139,-0.2165,0.0251,0.6635,1.2205,-0.0155,0
7.269,rrt,4.5655,-0.2095,0.0523,0.7862,1.1885,0.0323,0
7.386,rrt,4.6159,-0.2059,0.0557,0.8925,0.8150,-0.2284,0
7.474,rrt,4.6621,-0.2027,0.0595,0.9565,1.2397,-0.0054,0
7.515,rrt,4.7204,-0.1985,0.0626,0.9347,1.0105,-0.1257,0
7.578,rrt,4.7823,-0.1984,0.0383,0.8893,0.6189,-0.3313,0
7.640,rrt,4.8377,-0.2004,0.0171,0.9380,0.7542,-0.2603,0
7.722,rrt,4.8919,-0.2036,-0.0067,0.7917,0.6479,-0.3161,0
7.743,rrt,4.9354,-0.2098,-0.0416,0.7118,0.8610,0.2042,0
7.800,rrt,4.9845,-0.2196,-0.0839,0.6974,0.6173,0.3322,0
7.825,rrt,5.0125,-0.2262,-0.1068,0.7288,1.0058,0.1282,0
7.892,rrt,5.0551,-0.2339,-0.1211,0.7391,1.0769,0.0909,0
7.944,rrt,5.0700,-0.2358,-0.1203,0.7639,1.1641,-0.0451,0
7.998,rrt,5.1263,-0.2398,-0.1046,0.8484,1.0966,0.0805,0
8.050,rrt,5.1435,-0.2408,-0.1002,0.8739,1.0558,-0.1019,0
8.090,rrt,5.2264,-0.2481,-0.0947,0.9622,0.5240,0.3811,0
8.132,rrt,5.2745,-0.2517,-0.0916,0.8926,0.4565,0.4166,0
8.176,rrt,5.3118,-0.2546,-0.0874,0.6284,1.0681,0.0955,0
8.227,rrt,5.3408,-0.2545,-0.0709,0.5936,0.7068,0.2852,0
8.282,rrt,5.3729,-0.2544,-0.0589,0.6638,1.1977,0.0275,0
8.324,rrt,5.4068,-0.2532,-0.0403,0.7162,0.6883,0.2949,0
8.385,rrt,5.4439,-0.2515,-0.0234,0.7260,0.4500,0.4200,0
8.482,rrt,5.4785,-0.2478,0.0046,0.6124,1.2019,0.0252,0
8.546,rrt,5.4785,-0.2478,0.0046,0.6124,0.7628,0.2558,0
8.604,rrt,5.5293,-0.2353,0.0704,0.4994,1.1574,-0.0486,0
8.647,rrt,5.5702,-0.2250,0.1082,0.6453,0.4500,-0.4200,0
8.690,rrt,5.6179,-0.2141,0.1360,0.7668,1.0454,-0.1074,0
8.751,rrt,5.6382,-0.2106,0.1386,0.6189,0.6859,-0.2962,0
8.812,rrt,5.6828,-0.2063,0.1273,0.7021,1.1472,-0.0540,0
8.885,rrt,5.6971,-0.2052,0.1228,0.7120,0.8388,-0.2159,0
8.921,rrt,5.7182,-0.2042,0.1131,0.6976,0.4500,-0.4200,0
8.994,rrt,5.7706,-0.2037,0.0853,0.7954,0.4500,-0.4200,0
9.027,rrt,5.8022,-0.2036,0.0693,0.7318,0.8766,0.1960,0
9.078,rrt,5.8335,-0.2063,0.0384,0.5398,0.8488,-0.2106,0
9.143,rrt,5.8639,-0.2118,0.0009,0.5201,1.2500,-0.0000,0
9.207,rrt,5.9040,-0.2178,-0.0293,0.6205,1.1790,-0.0373,0
9.253,rrt,5.9370,-0.2225,-0.0493,0.7246,1.1922,-0.0303,0
9.311,rrt,5.9845,-0.2272,-0.0596,0.8530,1.2219,0.0147,0
9.362,rrt,6.0289,-0.2306,-0.0636,0.9253,0.7373,0.2692,0
9.422,rrt,6.0668,-0.2335,-0.0661,0.9740,1.1950,0.0289,0
9.453,rrt,6.1258,-0.2373,-0.0647,0.9213,0.5482,0.3684,0
9.498,rrt,6.1603,-0.2382,-0.0542,0.8146,0.7358,0.2700,0
9.595,rrt,6.1940,-0.2375,-0.0400,0.8058,0.4500,0.4200,0
9.681,rrt,6.2628,-0.2316,0.0071,0.6731,0.6693,-0.3048,0
9.754,rrt,6.3106,-0.2230,0.0537,0.5052,1.0508,-0.1046,0
9.822,rrt,6.3394,-0.2150,0.0887,0.5037,1.0194,-0.1211,0
9.878,rrt,6.3892,-0.2052,0.1135,0.6489,0.9705,-0.1467,0
9.928,rrt,6.4165,-0.2023,0.1106,0.7168,0.6365,-0.3221,0
10.030,rrt,6.4618,-0.2000,0.0955,0.7878,0.8642,0.2025,0
10.128,rrt,6.5161,-0.1997,0.0672,0.7079,1.0649,-0.0972,0
10.174,rrt,6.5568,-0.2038,0.0279,0.6648,0.6884,0.2948,0
10.214,rrt,6.5913,-0.2074,0.0046,0.7117,0.6361,0.3223,0
10.249,rrt,6.6285,-0.2097,-0.0080,0.7810,0.6576,-0.3110,0
10.281,rrt,6.6585,-0.2110,-0.0124,0.7187,1.0796,-0.0895,0
10.341,rrt,6.7064,-0.2097,-0.0014,0.6888,0.9054,0.1809,0
10.391,rrt,6.7430,-0.2102,-0.0056,0.7730,0.8416,0.2144,0
10.445,rrt,6.7665,-0.2111,-0.0096,0.7913,1.0952,0.0813,0
10.486,rrt,6.8144,-0.2102,0.0010,0.8145,0.9179,-0.1743,0
10.531,rrt,6.8567,-0.2077,0.0135,0.8675,0.6469,0.3166,0
10.628,rrt,6.8995,-0.2068,0.0130,0.7964,0.9234,-0.1715,0
10.733,rrt,6.9294,-0.2059,0.0173,0.7105,0.4500,-0.4200,0
10.819,rrt,6.9853,-0.1998,0.0450,0.7324,0.8977,-0.1850,0
10.902,rrt,7.0452,-0.1978,0.0362,0.5349,0.4500,-0.4200,0
10.944,rrt,7.0762,-0.2011,0.0113,0.5466,1.0970,0.0803,0
11.018,rrt,7.1269,-0.2065,-0.0203,0.5426,0.4500,0.4200,0
11.083,rrt,7.1443,-0.2090,-0.0317,0.6192,0.4500,0.4200,0
11.147,rrt,7.1957,-0.2127,-0.0392,0.5598,0.6561,-0.3118,0
11.209,rrt,7.2167,-0.2121,-0.0296,0.4949,0.7033,-0.2870,0
11.266,rrt,7.2450,-0.2077,-0.0012,0.4686,0.4861,-0.4011,0
11.314,rrt,7.2746,-0.2032,0.0231,0.5210,0.4500,0.4200,0
